id|name|cep|address|number|neighborhood|citie|state|country|cnpj|fl_aprove|fl_active|fl_billing|company_id|fl_client|fl_deleted|created_at|updated_at|complement|manager_email|headquarter|company_email|abaco_email|id|company_id|client_id|created_at|updated_at|mail_company|mail_client
463|A. DE MOURA LOURENCO ALARMES|09760-390|R JOAO VERSOLATO|287|BAETA NEVES|SAO BERNARDO DO CAMPO|SP|BRASIL|12.506.394/0001-33|0|1|1|1|0|0|3/8/21 9:05|3/8/21 9:05|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|536|3|463|3/8/21 9:08|3/8/21 9:08|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|nathalia.quaresma@aboutsec.com.br
284|A.S.S.SOLDAGEM LTDA|40484-305|AL C-5 (BELA VISTA LOBATO)|56|ALTO DO CABRITO|SALVADOR|BA|BRASIL|33.869.846/0001-11|0|1|1|1|0|0|4/2/20 15:19|4/2/20 15:19|CASA|(NULL)|(NULL)|(NULL)|g3.dsm@abacotecnologia.com.br|290|3|284|4/2/20 15:19|4/2/20 15:19|(NULL)|(NULL)
364|ABIMAEL CARLOS CAMPOS 31257023802|18114-695|R GALDINO JOSE RODRIGUES|5|FORNAZARI|VOTORANTIM|SP|BRASIL|29.959.765/0001-35|0|1|1|1|0|0|8/12/20 12:50|8/12/20 12:50|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|396|3|364|8/12/20 12:51|8/12/20 12:52|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|xicrinha2@yahoo.com.br, caeamorim@gmail.com
380|ACT-LIFT SERVICOS PARA EQUIPAMENTOS DE ELEVAÇÃO LTDA|06154-040|R MARTINS FONTES|370|VELOSO|OSASCO|SP|BRASIL|18.745.598/0001-03|0|1|1|1|0|0|9/24/20 12:02|9/24/20 12:02|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|420|3|380|9/24/20 12:02|2/8/21 14:49|isadora.bonato@dsm.com, SHE.CONTRACTOR@dsm.com|contato@actlift.com.br
305|ADAO LUCIANO NERY 10214965880|13905-762|R ELIETE MARIA NEVES|213|RESIDENCIAL SANTA MARIA AMPARO|AMPARO|SP|BRASIL|24.925.876/0001-07|0|1|1|1|0|0|4/14/20 8:48|5/14/20 8:42|(NULL)|Flavia.Pereira@dsm.com, SHE.CONTRACTOR@dsm.com|(NULL)|irbeneto@pifferefilhos.com.br|g3.dsm@abacotecnologia.com.br|388|3|305|8/4/20 11:57|8/4/20 11:59|Luiz.Bittencourt@dsm.com, she.contractor@dsm.com|irbeneto@pifferefilhos.com.br
259|ADEILSON FERREIRA NOIA|48609-490|AV ESTADOS UNIDOS|0|RODOVIARIOS|PAULO AFONSO|BA|BRASIL|36.374.087/0001-04|0|1|1|1|0|0|3/10/20 9:57|3/10/20 10:09|s/n casa|Bruna.Moraes@dsm.com,Beatriz.Souza@dsm.com,Amanda.Camargo@dsm.com,SHE.CONTRACTOR@dsm.com|(NULL)|felipelima@rczengenharia.com.br,barreto@rczengenharia.com.br,assumpcao.rsa@gmail.com|g3.dsm@abacotecnologia.com.br|251|3|259|3/10/20 9:58|2/8/21 14:50|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|felipelima@rczengenharia.com.br,barreto@rczengenharia.com.br,assumpcao.rsa@gmail.com
476|ADILTON FERNANDES PROJETOS E SERVICOS|61760-000|2A VERDE|100|COACU|EUSEBIO|CE|BRASIL|41.750.450/0001-89|0|1|1|1|0|0|4/29/21 13:52|4/29/21 13:52|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|555|131|476|4/29/21 13:53|4/29/21 13:54|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|elisa.rabelo@polimatec.com.br
8|ADW EQUIPAMENTOS INDUSTRIAIS LTDA|08597-620|R FLOR DE LIS|1052|QUINTA DA BOA VISTA (RESIDENCIAL)|ITAQUAQUECETUBA|SP|BRASIL|14.730.731/0001-05|0|1|1|1|0|0|9/3/19 15:25|3/6/20 11:33|(NULL)|bruna.moraes@dsm.com, beatriz.souza@dsm.com, amanda.camargo@dsm.com, she.contractor@dsm.com|(NULL)|tatiane.matter@airdraw.com.br, vitor@airdraw.com.br|g3.dsm@abacotecnologia.com.br|3|3|8|10/15/19 12:41|2/8/21 14:50|Amanda.Lemos@dsm.com, Bruna.Moraes@dsm.com, Beatriz.Souza@dsm.com, Brenda.Antinarelli@dsm.com, Luiz-Guilherme-Xavier-Cacao.Luiz-Cacao@dsm.com, SHE.CONTRACTOR@dsm.com|tatiane.matter@airdraw.com.br, vitor@airdraw.com.br
350|AGILENT TECHNOLOGIES BRASIL LTDA|06460-040|AV MARCOS PENTEADO DE ULHOA RODRIGUES|939|TAMBORE|BARUERI|SP|BRASIL|03.290.250/0001-00|0|1|1|1|0|0|7/7/20 10:50|7/7/20 10:50|ANDAR 6 SALA B EDIF JACARANDA|(NULL)|(NULL)|(NULL)|(NULL)|374|3|350|7/7/20 10:51|9/29/21 9:42|Luiz.Bittencourt@dsm.com, she.contractor@dsm.com|integracao-brazil@agilent.com, duait.sobrinho@agilent.com
482|AGRISOLUS DO BRASIL S.A.|87302-846|R ARARUNA|1886|JARDIM TOPAZIO|CAMPO MOURAO|PR|BRASIL|20.431.139/0001-05|0|1|1|1|0|0|5/18/21 11:07|5/18/21 11:07|(NULL)|(NULL)|(NULL)|(NULL)|(NULL)|563|3|482|5/18/21 11:08|5/18/21 11:27|Luiz.Bittencourt@dsm.com, SHE.CONTRACTOR@dsm.com|derimar.krul@agrisolus.com.br
